ID,N_Cod_Student,Gender,Age,Marital_E,School_Type,N_Reservation,Q_Courses_S,Mandatory_GPA,Elective_GPA,GPA,N_Semesters,H_Ausent_S,Scholarship,Enrolled,Q_A_Credits_S,O_IDH,O_Poverty_Per,R_IDH,R_Poverty_Per,Proportion_Credits
27,1,F,22.0,S,Private,1.0,5.182,11.756,12.5,11.419,11,5.506,0,0,12.091,76.53,0.3,76.53,0.3,61.29032258064516
32,1,M,22.0,S,Private,5.0,4.375,10.44,11.817,10.441,16,13.769,0,0,9.333,74.53999999999999,1.4,74.53999999999999,1.4,64.51612903225806
128,1,M,20.0,S,Private,2.0,4.2,9.509,9.509,8.691,5,1.973,0,0,8.0,76.22,0.7,76.22,0.7,14.746543778801843
244,1,M,18.0,S,Public,0.0,5.6,10.859,10.859,10.945,5,7.24,0,0,16.5,76.22,0.7,64.98,6.2,30.414746543778804
326,1,M,25.0,S,Private,0.0,5.0,12.26,12.26,10.23,1,10.0,0,0,9.0,78.88,0.1,76.22,0.7,4.090909090909091
425,1,F,19.0,S,Private,0.0,5.8,14.719,14.68,14.538,10,3.787,0,0,20.4,76.22,0.7,76.22,0.7,94.00921658986175
539,1,M,32.0,S,Private,2.0,2.5,14.368,14.368,13.871,2,14.333,0,0,7.5,76.22,0.7,74.53999999999999,1.4,6.8181818181818175
563,1,M,23.0,S,Private,4.0,3.81,11.262,11.883,11.371,21,7.604,0,0,9.75,83.26,0.1,64.12,9.1,89.86175115207374
580,1,F,19.0,S,Public,4.0,6.222,14.951,17.635,14.882,9,4.406,0,0,22.222,76.22,0.7,76.22,0.7,92.16589861751152
583,2,M,24.0,S,Private,0.0,3.333,3.357,0.45,5.636,2,22.0,0,0,8.0,76.22,0.7,66.44,5.2,3.686635944700461
626,1,M,18.5,S,Private,0.0,6.0,12.34,15.33,12.746,2,0.0,0,0,15.0,76.22,0.7,76.22,0.7,13.82488479262673
634,2,M,22.0,S,Private,0.625,3.625,11.23,11.23,10.44,7,4.992,0,1,7.286,68.93,4.0,68.93,4.0,23.502304147465438
691,1,M,18.0,S,Private,0.0,6.5,9.142,14.9,9.404,2,0.0,0,0,7.0,76.53,0.3,76.53,0.3,6.451612903225806
761,1,M,19.0,S,Private,2.0,4.643,12.16,13.798,12.258,14,3.088,0,0,14.143,76.22,0.7,76.22,0.7,91.24423963133641
768,2,F,32.0,S,Private,0.0,3.625,11.288,13.786,11.305,14,10.063,0,1,6.938,76.22,0.7,67.39,6.4,50.45454545454545
818,1,F,17.0,S,Private,0.0,6.5,9.934,14.46,10.245,2,0.0,0,0,6.5,66.89,6.3,66.32000000000001,4.3,5.990783410138248
899,1,F,27.0,S,Private,5.0,2.294,12.546,14.297,13.552,17,5.167,0,0,8.286,76.22,0.7,76.22,0.7,53.45622119815668
933,1,M,25.5,M,Public,6.0,2.75,13.326,13.11,13.046,8,5.792,0,0,8.625,76.22,0.7,64.12,9.1,31.797235023041477
942,1,F,20.0,S,Private,4.0,5.308,12.519,13.681,12.99,13,3.212,0,0,17.083,76.22,0.7,76.22,0.7,94.47004608294931
966,1,M,23.0,S,Private,0.0,3.941,11.727,13.377,11.351,17,12.004,0,0,9.688,76.22,0.7,76.22,0.7,71.42857142857143
974,1,F,17.0,S,Private,0.0,6.0,10.67,10.67,10.156,1,0.0,0,0,12.0,64.89,12.8,76.22,0.7,5.529953917050691
1096,1,F,27.0,S,Private,10.0,3.4,9.738,14.415,10.638,10,9.162,0,0,8.222,76.22,0.7,66.95,6.2,34.10138248847927
1189,1,M,31.0,S,Public,2.0,3.75,11.867,15.145,11.784,8,12.396,0,0,10.0,76.22,0.7,76.22,0.7,36.36363636363637
1198,1,M,33.0,M,Public,4.0,3.545,11.927,12.837,12.391,11,6.614,0,0,11.667,76.22,0.7,76.22,0.7,48.38709677419355
1203,1,M,27.0,S,Private,1.0,3.5,11.943,11.6,11.685,2,18.0,0,0,9.0,76.53,0.3,76.22,0.7,8.181818181818182
1205,1,M,18.0,S,Public,0.0,6.0,10.482,10.482,9.699,1,8.333,0,0,8.0,76.22,0.7,76.53,0.3,3.686635944700461
1237,1,F,19.0,S,Private,0.0,4.1,11.415,11.84,10.758,10,6.588,0,0,9.0,64.98,6.2,64.98,6.2,37.327188940092164
1247,1,M,20.0,S,Public,0.0,4.059,10.683,11.915,10.494,17,11.414,0,0,8.375,76.53,0.3,76.53,0.3,61.75115207373272
1275,1,F,24.0,S,Private,2.0,4.333,7.21,17.53,7.199,3,32.244,0,0,4.333,76.22,0.7,67.39,6.4,5.909090909090909
1281,1,M,21.0,S,Private,0.0,6.0,12.231,12.735,12.243,6,10.714,0,0,15.833,76.22,0.7,76.22,0.7,43.77880184331797
1336,1,M,22.0,S,Private,3.0,6.0,10.038,10.5,9.948,1,19.833,0,0,3.0,76.22,0.7,68.55,6.6,1.3636363636363635
1340,1,F,21.0,S,Public,9.0,4.385,11.694,13.16,13.631,13,12.444,0,0,16.273,76.22,0.7,67.39,6.4,82.48847926267281
1375,1,F,27.0,S,Private,1.0,1.167,13.103,13.65,13.173,6,6.583,0,0,4.2,76.53,0.3,76.53,0.3,9.67741935483871
1410,1,F,17.0,M,Private,0.0,6.0,9.258,9.258,8.41,1,6.667,0,0,8.0,76.22,0.7,76.53,0.3,3.686635944700461
1451,1,M,22.0,S,Private,2.0,4.647,11.952,11.958,11.65,17,14.674,0,0,12.353,66.67999999999999,4.7,66.67999999999999,4.7,96.7741935483871
1469,1,F,20.0,S,Private,3.0,4.667,13.53,13.46,13.611,12,6.367,0,0,15.333,74.53999999999999,1.4,74.53999999999999,1.4,84.7926267281106
1581,1,M,19.0,S,Public,2.0,6.0,11.107,11.107,11.41,1,13.5,0,0,12.0,64.56,6.4,74.53999999999999,1.4,5.529953917050691
1631,1,F,24.0,S,Public,1.0,3.5,12.373,12.373,11.544,2,4.583,0,0,11.0,76.22,0.7,64.98,6.2,10.138248847926267
1647,1,M,22.0,S,Public,0.0,6.0,6.33,6.33,5.495,1,20.333,0,0,2.0,76.22,0.7,66.95,6.2,0.9216589861751152
1715,1,F,25.0,S,Private,1.0,3.692,10.789,13.95,10.713,13,22.088,0,0,8.0,64.12,9.1,64.12,9.1,40.0
1726,1,M,27.0,S,Private,0.0,3.0,8.777,9.1,8.344,3,14.722,0,0,6.0,76.22,0.7,64.12,9.1,2.727272727272727
1738,1,F,18.0,S,Private,0.0,6.0,11.908,11.908,11.415,1,7.833,0,0,13.0,76.22,0.7,76.22,0.7,5.990783410138248
1762,1,M,21.0,S,Private,0.0,4.25,10.864,14.08,10.329,8,11.196,0,0,8.75,83.26,0.1,67.39,6.4,32.25806451612903
1870,1,M,24.0,S,Private,1.0,3.0,3.406,3.406,5.318,2,36.6,0,0,7.0,76.22,0.7,66.44,5.2,3.225806451612903
1924,1,M,21.0,S,Public,0.0,6.0,6.426,6.426,5.701,2,12.5,0,0,4.5,76.22,0.7,64.98,6.2,4.147465437788019
1945,1,M,18.0,S,Private,0.0,5.5,12.086,12.086,11.274,2,1.35,0,0,9.0,76.22,0.7,68.55,6.6,8.294930875576037
2004,1,M,30.0,M,Private,2.0,3.444,11.444,8.055,10.25,9,12.999,0,0,7.0,76.22,0.7,76.22,0.7,22.58064516129032
2052,1,M,19.0,S,Private,1.0,4.4,12.566,16.56,12.778,10,10.73,0,0,12.3,76.22,0.7,76.53,0.3,56.68202764976959
2093,1,F,19.0,S,Private,1.0,6.0,11.742,15.42,11.822,4,9.718,0,0,13.5,76.22,0.7,76.22,0.7,24.88479262672811
2189,1,M,20.0,S,Private,1.0,6.0,10.988,10.988,9.993,1,6.667,0,0,8.0,64.35,5.4,74.53999999999999,1.4,3.686635944700461
2250,1,M,34.0,M,Public,3.0,1.5,13.495,13.495,12.979,2,3.0,0,0,3.0,76.22,0.7,76.22,0.7,2.7649769585253456
2254,1,M,39.0,S,Private,4.0,2.9,12.373,13.13,11.617,10,11.925,0,0,7.4,76.22,0.7,68.93,4.0,34.10138248847927
2429,1,M,17.0,S,Public,1.0,4.5,6.593,6.593,4.737,2,23.667,0,0,4.0,76.22,0.7,68.93,4.0,3.686635944700461
2432,1,F,18.0,S,Private,1.0,4.333,11.47,11.47,10.604,3,3.5,0,0,8.0,66.95,6.2,64.98,6.2,11.059907834101383
2460,1,M,20.0,S,Private,0.0,5.0,3.87,9.25,6.084,1,19.4,0,0,2.0,76.22,0.7,68.93,4.0,0.9090909090909091
2471,1,M,18.0,S,Private,0.0,6.0,9.505,9.505,9.095,1,3.0,0,0,2.0,76.22,0.7,68.93,4.0,0.9216589861751152
2480,1,F,25.0,S,Public,0.0,4.5,13.622,14.385,13.002,2,11.667,0,0,10.5,76.22,0.7,64.98,6.2,9.67741935483871
3111,1,M,17.0,S,Private,1.0,6.0,7.162,7.162,6.503,2,19.083,0,0,5.0,76.22,0.7,76.53,0.3,4.6082949308755765
3125,1,F,17.0,S,Private,2.0,5.5,11.592,11.592,11.191,2,6.617,0,0,11.5,64.35,5.4,76.53,0.3,10.599078341013826
3155,1,M,18.0,S,Private,0.0,4.0,11.924,11.924,11.015,3,3.722,0,0,7.0,57.599999999999994,21.7,68.93,4.0,9.67741935483871
3332,1,F,17.0,S,Private,1.0,4.0,13.643,13.643,12.593,3,3.2,0,0,9.667,76.22,0.7,64.12,9.1,13.36405529953917
3348,1,M,21.0,S,Public,0.0,2.0,7.725,14.25,10.65,2,17.5,0,0,4.5,76.22,0.7,76.22,0.7,4.147465437788019
3362,1,M,23.5,S,Private,1.0,4.4,11.843,14.8,11.601,5,9.693,0,0,9.8,76.22,0.7,68.55,6.6,22.58064516129032
3373,1,F,19.0,S,Private,0.0,3.875,11.649,11.649,11.792,8,7.471,0,0,11.0,76.22,0.7,66.44,5.2,35.483870967741936
3394,1,M,23.0,S,Private,0.0,4.0,11.893,13.85,12.58,1,7.5,0,0,8.0,70.19,7.0,76.53,0.3,3.686635944700461
3406,1,M,18.0,S,Private,2.0,4.5,13.163,13.163,12.165,4,2.192,0,0,9.75,74.53999999999999,1.4,74.53999999999999,1.4,17.972350230414747
3433,1,M,17.0,S,Private,0.0,6.0,9.835,9.835,9.373,1,9.333,0,0,5.0,76.22,0.7,64.98,6.2,2.3041474654377883
3485,1,M,31.0,S,Private,2.0,1.0,13.78,13.78,13.78,1,12.0,0,0,4.0,76.22,0.7,66.67999999999999,4.7,1.8433179723502304
3502,1,M,19.0,S,Private,0.0,5.667,13.818,17.175,13.979,6,7.917,0,0,18.333,73.89,1.4,66.67999999999999,4.7,50.69124423963134
3512,1,F,19.0,S,Private,0.0,4.625,12.407,15.59,12.041,8,4.438,0,0,12.375,76.22,0.7,76.22,0.7,45.622119815668206
3555,1,M,20.0,S,Public,0.0,6.0,10.523,10.523,10.116,1,12.0,0,0,8.0,76.22,0.7,66.44,5.2,3.686635944700461
3559,1,F,16.0,S,Private,0.0,6.0,12.253,12.253,11.438,1,8.833,0,0,12.0,76.22,0.7,76.22,0.7,5.529953917050691
3586,1,M,21.0,S,Private,0.0,2.5,7.128,13.7,10.513,2,17.25,0,0,4.5,76.22,0.7,64.12,9.1,4.147465437788019
3589,1,F,19.0,S,Public,0.0,4.5,9.516,14.29,10.364,2,11.833,0,0,16.0,76.22,0.7,74.53999999999999,1.4,7.2727272727272725
3624,1,M,16.0,S,Private,0.0,3.5,3.793,3.793,5.597,2,30.417,0,0,3.0,64.56,6.4,76.22,0.7,1.3824884792626728
3757,1,F,17.0,S,Private,0.0,6.0,8.56,8.56,7.291,1,9.667,0,0,8.0,66.95,6.2,74.53999999999999,1.4,3.686635944700461
3776,1,M,27.0,M,Private,0.0,2.667,11.081,14.55,10.073,3,19.028,0,0,6.0,76.22,0.7,76.22,0.7,8.181818181818182
3858,1,F,19.0,S,Private,0.0,4.25,10.906,12.371,10.892,4,17.964,0,0,7.75,66.95,6.2,66.95,6.2,14.09090909090909
3908,1,M,23.0,S,Private,1.0,2.0,11.97,12.925,12.448,2,3.5,0,0,2.5,76.22,0.7,66.67999999999999,4.7,2.272727272727273
3919,1,M,18.0,S,Private,0.0,6.0,8.285,8.285,6.967,1,25.0,0,0,6.0,76.22,0.7,76.53,0.3,2.7649769585253456
3924,1,M,22.0,S,Public,0.0,2.5,11.693,11.693,11.871,2,12.083,0,0,7.0,66.95,6.2,66.95,6.2,3.225806451612903
3939,1,M,17.5,S,Public,0.0,6.0,8.302,8.302,7.149,2,14.583,0,0,4.0,76.22,0.7,66.67999999999999,4.7,3.686635944700461
3991,1,M,27.0,S,Private,4.0,2.944,10.265,13.876,10.569,18,16.115,0,0,7.75,76.22,0.7,76.53,0.3,57.14285714285714
4018,1,M,24.0,S,Private,0.0,3.333,9.73,11.965,9.362,3,17.667,0,0,6.667,64.56,6.4,76.22,0.7,9.090909090909092
4286,1,M,20.0,S,Private,0.0,6.0,11.829,14.915,12.059,3,11.833,0,0,14.333,76.22,0.7,76.22,0.7,19.545454545454547
4624,1,M,19.0,S,Public,0.0,6.0,6.448,6.448,5.36,1,9.667,0,0,3.0,76.22,0.7,76.22,0.7,1.3824884792626728
4699,1,F,19.0,S,Public,0.0,6.0,11.385,14.4,11.161,3,8.943,0,0,11.0,64.56,6.4,76.22,0.7,15.207373271889402
4706,1,M,32.0,S,Private,0.0,3.0,11.26,11.26,11.37,1,0.0,0,0,4.0,76.22,0.7,64.12,9.1,1.82648401826484
4757,1,M,25.0,S,Public,1.0,5.667,9.571,11.55,9.473,3,24.678,0,0,6.667,76.22,0.7,68.93,4.0,9.090909090909092
4781,1,M,26.0,S,Private,1.0,4.5,10.978,11.294,10.865,14,6.457,0,0,9.077,76.22,0.7,74.53999999999999,1.4,53.63636363636364
4799,1,F,24.0,S,Private,0.0,3.923,10.524,15.183,10.614,13,16.957,0,0,7.818,76.22,0.7,66.44,5.2,39.09090909090909
5092,1,M,21.0,S,Private,0.0,1.0,11.51,11.51,11.51,1,0.0,0,0,3.0,76.22,0.7,76.53,0.3,1.3636363636363635
5141,1,M,20.0,S,Private,0.0,4.0,10.5,10.5,10.481,1,14.25,0,0,6.0,76.22,0.7,66.32000000000001,4.3,2.727272727272727
5210,1,F,17.0,S,Public,0.0,6.0,12.757,12.757,12.241,1,0.833,0,0,10.0,76.22,0.7,66.67999999999999,4.7,4.545454545454546
5251,1,F,17.0,S,Public,0.0,6.0,13.613,13.613,13.179,1,3.0,0,0,18.0,56.35,6.2,64.12,9.1,8.181818181818182
5274,1,M,27.0,S,Public,1.0,3.833,9.99,11.85,10.025,6,13.206,0,0,7.8,47.54,17.7,66.95,6.2,17.727272727272727
5299,1,M,16.0,S,Public,0.0,6.0,7.607,7.607,6.544,1,14.333,0,0,3.0,53.25,32.8,66.95,6.2,1.3636363636363635
5382,1,F,26.0,S,Private,0.0,3.2,11.327,11.327,11.18,5,16.453,0,0,7.8,76.22,0.7,74.53999999999999,1.4,17.727272727272727
5384,1,M,29.0,S,Private,0.0,6.0,11.87,11.87,11.086,1,6.667,0,0,14.0,83.37,0.8,76.22,0.7,6.363636363636363
5396,1,M,18.0,S,Private,0.0,4.0,9.094,9.094,8.45,2,21.083,0,0,6.0,67.39,6.4,67.39,6.4,2.727272727272727
5397,1,M,31.0,S,Private,1.0,5.0,10.971,11.46,10.373,4,12.167,0,0,10.25,67.29,6.9,66.67999999999999,4.7,18.636363636363637
5424,1,F,21.0,S,Private,0.0,3.0,10.627,7.8,9.542,4,14.433,0,0,4.0,76.22,0.7,64.98,6.2,7.2727272727272725
5523,2,M,20.0,S,Private,0.0,6.0,8.186,11.8,8.204,2,22.333,0,0,9.5,76.22,0.7,76.22,0.7,8.636363636363637
5705,1,M,17.0,S,Public,0.0,4.667,10.616,6.15,10.423,3,5.333,0,0,11.0,76.22,0.7,74.53999999999999,1.4,10.0
5969,1,M,18.0,S,Public,0.0,5.0,12.933,16.66,13.194,5,5.665,0,0,14.8,76.22,0.7,66.67999999999999,4.7,33.63636363636363
6078,1,M,20.0,S,Public,0.0,4.333,11.139,11.42,10.754,12,10.047,0,0,7.909,76.22,0.7,66.95,6.2,39.54545454545455
6108,1,M,17.0,S,Public,1.0,6.0,12.995,12.995,12.616,1,10.667,0,0,17.0,65.91,8.2,76.22,0.7,7.727272727272727
6155,1,F,20.0,S,Private,0.0,3.778,10.367,14.497,10.076,9,6.046,0,0,5.75,76.22,0.7,68.93,4.0,20.909090909090907
6402,1,M,24.0,S,Public,5.0,3.4,11.347,15.168,11.348,15,14.756,0,0,7.643,83.72,0.5,66.44,5.2,48.63636363636364
6516,1,M,20.0,S,Private,2.0,4.3,10.656,16.872,10.493,10,6.802,0,0,9.5,76.22,0.7,67.39,6.4,34.54545454545455
6616,1,M,22.0,S,Private,6.0,3.407,12.399,14.097,12.13,28,10.541,0,1,8.231,76.22,0.7,64.12,9.1,97.27272727272728
6618,1,M,18.0,S,Private,0.0,6.0,9.218,9.218,8.773,1,9.167,0,0,3.0,58.18,13.6,76.22,0.7,1.3636363636363635
6655,1,F,19.0,S,Private,0.0,5.75,9.263,11.707,9.577,4,14.475,0,0,7.25,76.22,0.7,66.44,5.2,13.18181818181818
6658,1,M,27.0,S,Public,0.0,4.0,2.95,6.338,4.602,2,34.417,0,0,3.0,76.22,0.7,64.98,6.2,1.3636363636363635
6679,1,M,23.0,S,Public,3.0,2.0,10.608,10.608,10.753,2,24.5,0,0,6.0,64.56,6.4,64.98,6.2,5.454545454545454
6732,1,M,19.0,S,Private,0.0,6.0,9.678,9.678,9.536,1,9.667,0,0,3.0,76.22,0.7,74.53999999999999,1.4,1.3636363636363635
6734,1,F,27.0,S,Public,0.0,3.0,9.563,9.563,8.152,1,22.667,0,0,6.0,76.22,0.7,66.95,6.2,2.727272727272727
6753,1,M,26.0,S,Public,0.0,4.0,7.555,11.94,7.659,2,8.5,0,0,5.0,76.22,0.7,76.22,0.7,4.545454545454546
6800,1,M,25.0,S,Private,0.0,5.0,10.16,0.0,9.12,1,23.6,0,0,8.0,76.8,1.0,68.93,4.0,3.6363636363636362
6911,1,F,19.0,S,Private,0.0,6.0,9.895,9.895,9.339,2,7.75,0,0,9.5,76.22,0.7,64.98,6.2,8.636363636363637
7028,1,M,18.0,S,Private,1.0,5.5,12.02,12.02,11.928,2,3.2,0,0,9.5,76.22,0.7,64.98,6.2,8.636363636363637
7064,1,M,18.0,S,Public,0.0,6.5,11.558,11.73,11.6,2,6.905,0,0,11.0,76.22,0.7,76.22,0.7,10.0
7068,1,M,24.0,S,Public,2.0,3.55,11.832,11.511,11.756,20,12.188,0,0,9.333,63.32,4.8,66.32000000000001,4.3,76.36363636363637
7085,1,M,28.0,S,Public,1.0,2.333,7.933,12.27,8.675,3,13.833,0,0,5.0,83.72,0.5,76.22,0.7,4.545454545454546
7114,1,M,17.0,S,Public,0.0,6.0,10.465,10.465,10.253,1,5.167,0,0,6.0,76.22,0.7,74.53999999999999,1.4,2.727272727272727
7139,1,M,19.0,S,Public,0.0,4.667,10.67,15.44,10.474,9,5.8,0,0,8.625,76.22,0.7,66.67999999999999,4.7,31.363636363636367
7191,1,M,18.0,S,Private,0.0,5.0,9.049,13.21,9.688,3,13.278,0,0,5.0,76.22,0.7,66.67999999999999,4.7,6.8181818181818175
7226,1,M,19.0,S,Private,1.0,6.25,12.189,14.652,12.264,4,8.143,0,0,14.0,76.22,0.7,64.12,9.1,25.454545454545453
7252,1,M,35.0,S,Public,3.0,3.0,8.927,8.927,8.587,1,10.0,0,0,3.0,76.22,0.7,64.12,9.1,1.3636363636363635
