ID,N_Cod_Student,Gender,Age,Marital_E,School_Type,N_Reservation,Q_Courses_S,Mandatory_GPA,Elective_GPA,GPA,N_Semesters,H_Ausent_S,Scholarship,Enrolled,Q_A_Credits_S,O_IDH,O_Poverty_Per,R_IDH,R_Poverty_Per,Proportion_Credits
9521,1,M,24,S,Public,2,2,10,10,10,8,18,0,0,4,76,0,74,1,14
35449,1,M,18,S,Private,0,4,13,14,12,9,0,0,1,11,67,6,66,6,42
10641,1,F,18,S,Public,0,6,5,14,5,1,26,0,0,2,64,12,74,1,0
21160,1,M,22,S,Public,2,6,9,9,9,1,3,0,0,10,60,13,76,0,4
19324,1,M,21,S,Private,0,2,7,7,6,3,17,0,0,4,76,0,76,0,3
40085,1,M,17,S,Private,0,4,11,13,11,4,0,0,1,9,76,0,66,4,13
3586,1,M,21,S,Private,0,2,7,13,10,2,17,0,0,4,76,0,64,9,4
35386,1,M,17,S,Private,0,3,5,5,4,4,28,0,0,4,64,6,68,4,4
9888,1,F,25,S,Public,0,2,12,12,11,2,26,0,0,6,57,14,64,9,5
35049,1,M,18,S,Private,1,5,11,9,10,7,5,0,1,10,76,0,74,1,28
19852,1,M,22,S,Private,1,1,14,11,13,2,8,0,0,4,60,12,68,4,3
39594,1,M,17,S,Private,0,4,15,16,15,4,0,0,1,15,52,23,67,6,20
9492,1,F,18,S,Public,0,3,8,15,8,2,9,0,0,2,76,0,66,6,0
33803,1,M,17,S,Private,0,6,8,8,8,1,20,0,0,6,76,0,66,5,2
7064,1,M,18,S,Public,0,6,11,11,11,2,6,0,0,11,76,0,76,0,10
24199,1,M,17,S,Private,1,6,10,10,10,1,5,0,0,4,76,0,67,6,1
32899,1,M,20,S,Private,0,5,14,15,14,10,3,1,1,19,76,0,63,4,81
29227,1,M,17,S,Private,0,4,11,0,9,3,4,0,0,7,76,0,74,1,10
29192,1,M,20,S,Private,6,2,9,9,7,7,11,0,1,6,76,0,76,0,8
37716,1,F,17,S,Public,0,5,10,14,10,5,2,0,0,10,76,0,66,5,18
8188,1,F,21,S,Public,2,5,11,13,11,3,19,0,0,14,76,0,64,6,20
37007,1,M,18,S,Private,0,5,13,13,13,6,2,0,1,15,76,0,74,1,35
31993,1,M,17,S,Private,0,5,8,7,9,2,19,0,0,13,64,5,64,5,5
36307,1,F,18,S,Private,1,5,14,14,14,6,2,0,1,19,76,0,76,0,44
29849,1,M,20,S,Public,0,5,11,14,10,4,10,0,0,9,64,6,66,5,16
9722,1,F,17,S,Private,1,5,12,17,12,4,3,0,0,14,76,0,74,1,26
41857,1,M,18,S,Private,1,7,9,9,12,2,0,1,1,11,28,50,60,12,5
42856,1,M,19,S,Public,0,3,18,18,18,3,0,0,1,12,56,7,69,7,11
7191,1,M,18,S,Private,0,5,9,13,9,3,13,0,0,5,76,0,66,4,6
10177,1,M,18,S,Private,0,7,11,11,10,1,3,0,0,14,76,0,68,6,6
18948,1,M,25,S,Private,1,4,7,10,8,4,20,0,0,4,76,0,74,1,8
28424,1,F,19,S,Public,1,3,10,17,10,4,10,0,0,8,49,29,76,0,10
25931,1,M,21,S,Private,0,3,13,12,12,9,7,0,1,11,64,9,64,9,40
