ID,prob_0,prob_1,x,y
21160,0.007,0.993,0,0
21160,0.097,0.903,0,0
21160,0.254,0.746,0,0
21160,0.226,0.774,0,0
21160,0.387,0.613,0,0
19852,0.183,0.817,0,0
19852,0.415,0.585,0,0
19852,0.029,0.971,0,0
19852,0.095,0.905,0,0
19852,0.415,0.585,0,0
9492,0.123,0.877,0,0
9492,0.237,0.763,0,0
9492,0.246,0.754,0,0
9492,0.434,0.566,0,0
24199,0.273,0.727,0,0
24199,0.435,0.565,0,0
24199,0.442,0.558,0,0
24199,0.35,0.65,0,0
24199,0.117,0.883,0,0
10177,0.208,0.792,0,0
10177,0.132,0.868,0,0
10177,0.206,0.794,0,0
10177,0.206,0.794,0,0
10177,0.202,0.798,0,0
42211,0.421,0.579,0,0
42211,0.172,0.828,0,0
42211,0.143,0.857,0,0
42211,0.359,0.641,0,0
42211,0.017,0.983,0,0
32837,0.287,0.713,0,0
32837,0.08,0.92,0,0
32837,0.383,0.617,0,0
32837,0.255,0.745,0,0
32837,0.408,0.592,0,0
818,0.025,0.975,0,0
818,0.0,1.0,0,0
818,0.02,0.98,0,0
818,0.006,0.994,0,0
818,0.418,0.582,0,0
26635,0.133,0.867,0,0
26635,0.382,0.618,0,0
26635,0.007,0.993,0,0
26635,0.123,0.877,0,0
26635,0.006,0.994,0,0
36217,0.218,0.782,0,0
36217,0.12,0.88,0,0
36217,0.26,0.74,0,0
36217,0.102,0.898,0,0
36217,0.394,0.606,0,0
24929,0.058,0.942,0,0
24929,0.399,0.601,0,0
24929,0.0,1.0,0,0
24929,0.26,0.74,0,0
24929,0.125,0.875,0,0
29694,0.007,0.993,0,0
29694,0.021,0.979,0,0
29694,0.008,0.992,0,0
29694,0.49,0.51,0,0
29694,0.082,0.918,0,0
2432,0.439,0.561,0,0
14298,0.169,0.831,0,0
14298,0.443,0.557,0,0
14298,0.359,0.641,0,0
14298,0.451,0.549,0,0
14298,0.452,0.548,0,0
35412,0.018,0.982,0,0
35412,0.443,0.557,0,0
35412,0.0,1.0,0,0
35412,0.001,0.999,0,0
35412,0.457,0.543,0,0
974,0.318,0.682,0,0
974,0.013,0.987,0,0
974,0.306,0.694,0,0
974,0.047,0.953,0,0
974,0.075,0.925,0,0
12631,0.466,0.534,0,0
12631,0.104,0.896,0,0
12631,0.432,0.568,0,0
12631,0.245,0.755,0,0
12631,0.009,0.991,0,0
40715,0.001,0.999,0,0
40715,0.003,0.997,0,0
40715,0.039,0.961,0,0
40715,0.002,0.998,0,0
40715,0.008,0.992,0,0
39913,0.41,0.59,0,0
39913,0.0,1.0,0,0
39913,0.347,0.653,0,0
39913,0.343,0.657,0,0
39913,0.124,0.876,0,0
26211,0.006,0.994,0,0
26211,0.002,0.998,0,0
26211,0.481,0.519,0,0
26211,0.001,0.999,0,0
26211,0.021,0.979,0,0
21883,0.032,0.968,0,0
21883,0.004,0.996,0,0
21883,0.002,0.998,0,0
21883,0.245,0.755,0,0
21883,0.0,1.0,0,0
8201,0.019,0.981,0,0
8201,0.0,1.0,0,0
8201,0.287,0.713,0,0
8201,0.016,0.984,0,0
8201,0.021,0.979,0,0
39377,0.361,0.639,0,0
39377,0.026,0.974,0,0
39377,0.374,0.626,0,0
39377,0.361,0.639,0,0
39377,0.411,0.589,0,0
32852,0.431,0.569,0,0
32852,0.043,0.957,0,0
32852,0.088,0.912,0,0
32852,0.021,0.979,0,0
32852,0.003,0.997,0,0
7114,0.375,0.625,0,0
7114,0.415,0.585,0,0
7114,0.415,0.585,0,0
7114,0.263,0.737,0,0
7114,0.158,0.842,0,0
15627,0.166,0.834,0,0
15627,0.176,0.824,0,0
15627,0.091,0.909,0,0
15627,0.27,0.73,0,0
15627,0.208,0.792,0,0
24532,0.425,0.575,0,0
24532,0.24,0.76,0,0
24532,0.046,0.954,0,0
24532,0.003,0.997,0,0
24532,0.416,0.584,0,0
9524,0.032,0.968,0,0
9524,0.117,0.883,0,0
9524,0.001,0.999,0,0
9524,0.002,0.998,0,0
9524,0.022,0.978,0,0
33569,0.352,0.648,0,0
33569,0.011,0.989,0,0
33569,0.002,0.998,0,0
33569,0.409,0.591,0,0
33569,0.029,0.971,0,0
20982,0.05,0.95,0,0
20982,0.007,0.993,0,0
20982,0.266,0.734,0,0
20982,0.36,0.64,0,0
20982,0.223,0.777,0,0
3757,0.095,0.905,0,0
38553,0.0,1.0,0,0
